Year,Company Ticker,Company Name,Balance Sheet Current Assets,Balance Sheet Current Liabilities,Balance Sheet Inventory,Balance Sheet Long Term Debt,Balance Sheet Stockholders Equity,Balance Sheet Total Assets,Balance Sheet Total Debt,Balance Sheet Total Liabilities Net Minority Interest,Cashflow Capital Expenditure,Cashflow Cash Flow From Continuing Operating Activities,Financial Statement Cost Of Revenue,Financial Statement EBIT,Financial Statement Net Income,Financial Statement Research And Development,Financial Statement Total Revenue
2021-09-30,AAPL,Apple Inc.,134836000000.0,125481000000.0,6580000000.0,109106000000.0,63090000000.0,351002000000.0,136522000000.0,287912000000.0,-11085000000.0,104038000000.0,212981000000.0,111852000000.0,94680000000.0,21914000000.0,365817000000.0
2022-09-30,AAPL,Apple Inc.,135405000000.0,153982000000.0,4946000000.0,98959000000.0,50672000000.0,352755000000.0,132480000000.0,302083000000.0,-10708000000.0,122151000000.0,223546000000.0,119437000000.0,99803000000.0,26251000000.0,394328000000.0
2023-09-30,AAPL,Apple Inc.,143566000000.0,145308000000.0,6331000000.0,95281000000.0,62146000000.0,352583000000.0,111088000000.0,290437000000.0,-10959000000.0,110543000000.0,214137000000.0,114301000000.0,96995000000.0,29915000000.0,383285000000.0
2024-09-30,AAPL,Apple Inc.,152987000000.0,176392000000.0,7286000000.0,85750000000.0,56950000000.0,364980000000.0,106629000000.0,308030000000.0,-9447000000.0,118254000000.0,210352000000.0,123216000000.0,93736000000.0,31370000000.0,391035000000.0
TTM,AAPL,Apple Inc.,,,,,,,,,,,213667000000.0,127364000000.0,97294000000.0,32589000000.0,400366000000.0
