Metrics,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Capital Expenditure,-9447000000.0,-10959000000.0,-10708000000.0,-11085000000.0,
Cash Flow From Continuing Financing Activities,-121983000000.0,-108488000000.0,-110749000000.0,-93353000000.0,
